FIPS,crime,arrest_count_white,arrest_count_black,arrest_count_asian,arrest_count_hispanic
04023,weapon,10.0,0.0,0.0,0.0
04025,drug,2223.0,27.0,6.0,0.0
04025,property,1161.0,23.0,7.0,0.0
04025,violent,175.0,5.0,1.0,0.0
04025,weapon,36.0,1.0,2.0,0.0
04027,drug,949.0,42.0,3.0,0.0
04027,property,721.0,28.0,3.0,0.0
04027,violent,274.0,23.0,1.0,0.0
04027,weapon,46.0,4.0,0.0,0.0
05001,drug,36.0,45.0,0.0,0.0
05001,property,39.0,16.0,0.0,0.0
05001,violent,3.0,11.0,0.0,0.0
05001,weapon,2.0,6.0,0.0,0.0
05003,drug,36.0,57.0,0.0,0.0
05003,property,47.0,49.0,0.0,0.0
05003,violent,7.0,17.0,0.0,0.0
05003,weapon,3.0,3.0,0.0,0.0
05005,drug,141.0,0.0,0.0,0.0
05005,property,73.0,0.0,1.0,0.0
05005,violent,14.0,0.0,0.0,0.0
05005,weapon,3.0,0.0,0.0,0.0
05007,drug,3775.0,187.0,46.0,0.0
05007,property,1085.0,30.0,8.0,0.0
05007,violent,264.0,11.0,5.0,0.0
05007,weapon,37.0,2.0,0.0,0.0
05009,drug,397.0,3.0,0.0,0.0
05009,property,181.0,2.0,0.0,0.0
05009,violent,40.0,0.0,0.0,0.0
05009,weapon,8.0,0.0,0.0,0.0
05011,drug,27.0,12.0,0.0,0.0
05011,property,5.0,4.0,0.0,0.0
05011,violent,1.0,0.0,0.0,0.0
05011,weapon,0.0,2.0,0.0,0.0
05013,drug,27.0,24.0,0.0,0.0
05013,property,9.0,4.0,0.0,0.0
05013,violent,2.0,1.0,0.0,0.0
05015,drug,124.0,6.0,0.0,0.0
05015,property,90.0,0.0,0.0,0.0
05015,violent,33.0,0.0,0.0,0.0
05015,weapon,2.0,0.0,0.0,0.0
05017,drug,3.0,15.0,0.0,0.0
05017,property,4.0,25.0,0.0,0.0
05017,violent,1.0,7.0,0.0,0.0
05017,weapon,0.0,5.0,0.0,0.0
05019,drug,84.0,93.0,0.0,0.0
05019,property,31.0,19.0,0.0,0.0
05019,violent,8.0,12.0,0.0,0.0
05019,weapon,3.0,1.0,0.0,0.0
05021,drug,117.0,0.0,0.0,0.0
05021,property,32.0,0.0,0.0,0.0
05021,violent,10.0,0.0,0.0,0.0
05021,weapon,1.0,0.0,0.0,0.0
05023,drug,369.0,3.0,3.0,0.0
05023,property,115.0,0.0,0.0,0.0
05023,violent,14.0,0.0,0.0,0.0
05023,weapon,2.0,0.0,0.0,0.0
05025,drug,3.0,0.0,0.0,0.0
05025,property,2.0,0.0,0.0,0.0
05027,drug,27.0,66.0,0.0,0.0
05027,property,53.0,88.0,0.0,0.0
05027,violent,4.0,21.0,0.0,0.0
05027,weapon,0.0,4.0,0.0,0.0
05029,drug,558.0,120.0,9.0,0.0
05029,property,79.0,14.0,0.0,0.0
05029,violent,18.0,7.0,0.0,0.0
05029,weapon,9.0,0.0,0.0,0.0
05031,drug,1509.0,1098.0,3.0,0.0
05031,property,587.0,363.0,1.0,0.0
05031,violent,103.0,115.0,0.0,0.0
05031,weapon,7.0,8.0,0.0,0.0
05033,drug,318.0,9.0,9.0,0.0
05033,property,341.0,13.0,2.0,0.0
05033,violent,74.0,5.0,2.0,0.0
05033,weapon,9.0,0.0,0.0,0.0
05035,drug,456.0,1213.0,6.0,0.0
